species
Ostorhinchus maculiferus
Ostracion meleagris
Ostracion whitleyi
Oxycheilinus bimaculatus
Oxycheilinus unifasciatus
Oxycirrhites typus
Oxyporhamphus micropterus
Oxyurichthys heisei
Oxyurichthys lonchotus
Pachystomias microdon
Parablennius thysanius
Parabothus chlorospilus
Parabothus coarctatus
Paracanthurus hepatus
Paracaristius nudarcus
Paracirrhites arcatus
Paracirrhites forsteri
Parapercis roseoviridis
Parapercis schauinslandii
Parascombrops argyreus
Parexocoetus brachypterus
Parupeneus chrysonemus
Parupeneus cyclostomus
Parupeneus insularis
Parupeneus multifasciatus
Parupeneus pleurostigma
Parupeneus porphyreus
Pentaceros wheeleri
Pentherichthys atratus
Pervagor aspricaudus
Pervagor spilosoma
Phaenomonas cooperae
Phenacoscorpius megalops
Photocorynus spiniceps
Photonectes albipennis
Photonectes caerulescens
Photonectes parvimanus
Photonectes waitti
Photostomias liemi
Photostomias lucingens
Photostomias tantillux
Photostylus pycnopterus
Phtheirichthys lineatus
Phyllophichthus xenodontus
Physiculus cynodon
Physiculus grinnelli
Physiculus rhodopinnis
Physiculus sterops
Plagiotremus ewaensis
Plagiotremus goslinei
Platax boersii
Platax teira
Platybelone argalus
Platybelone platyura
Platyberyx andriashevi
Platyberyx paucus
Plectranthias helenae
Plectranthias nanus
Plectranthias winniensis
Plectrogenium nanum
Plectroglyphidodon fasciolatus
Plectroglyphidodon imparipennis
Plectroglyphidodon johnstonianus
Plectroglyphidodon marginatus
Plectroglyphidodon phoenixensis
Plectroglyphidodon sindonis
Plectrypops lima
Plesiobatis daviesi
Pleurosicya larsonae
Pleurosicya micheli
Poecilopsetta hawaiiensis
Polydactylus sexfilis
Polyipnus matsubarai
Polyipnus nuttingi
Polylepion russelli
Polymixia berndti
Polymixia japonica
Pomacanthus imperator
Pomacanthus semicirculatus
Pontinus macrocephalus
Poromitra crassiceps
Poromitra oscitans
Priacanthus alalaua
Priacanthus meeki
Priolepis aureoviridis
Priolepis eugenius
Priolepis farcimen
Priolepis limbatosquamis
Priolepis semidoliata
Prionace glauca
Pristiapogon kallopterus
Pristiapogon taeniopterus
Pristilepis oligolepis
Pristipomoides auricilla
Pristipomoides filamentosus
Pristipomoides sieboldii
Pristipomoides zonatus
Prognathodes basabei
Prognichthys sealei
Promethichthys prometheus
Protammodytes brachistos
Protomyctophum beckeri
Psenes arafurensis
Psenes cyanophrys
Psenes maculatus
Psenes pellucidus
Pseudamiops diaphanes
Pseudanthias bicolor
Pseudanthias fucinus
Pseudanthias hawaiiensis
Pseudanthias randalli
Pseudanthias thompsoni
Pseudocaranx dentex
Pseudocarcharias kamoharai
Pseudocetonurus septifer
Pseudocheilinus evanidus
Pseudocheilinus ocellatus
Pseudocheilinus octotaenia
Pseudocheilinus tetrataenia
Pseudogramma brederi
Pseudogramma polyacantha
Pseudohowella intermedia
Pseudojuloides cerasinus
Pseudoscopelus altipinnis
